,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0004192352294921875,0.000838470458984375,0.21801962852478027,0.2040683724559114,3,1,"{'n_neighbors': 3, 'p': 1}",0.8708491556862431,0.8266437523730491,0.8469941886006362,0.8088643925073407,0.7980628411099004,0.8302828660554338,0.02621074711119458,5
1,0.0016669273376464845,0.0033338546752929685,0.22637577056884767,0.24859556937530256,3,2,"{'n_neighbors': 3, 'p': 2}",0.8060650681534745,0.7906945865356448,0.8222719553334017,0.7289077918950106,0.7490565672219645,0.7793991938278991,0.03506218785978121,10
2,0.002263927459716797,0.003309032070236723,0.12627167701721193,0.00902555752736231,5,1,"{'n_neighbors': 5, 'p': 1}",0.8776891893019543,0.8276554632655989,0.8427694265577605,0.8065929988227033,0.8145337245439793,0.8338481604983992,0.025123158909177407,2
3,0.00021948814392089844,0.0004389762878417969,0.09680895805358887,0.010340075393421012,5,2,"{'n_neighbors': 5, 'p': 2}",0.8407874546592733,0.8083188603355713,0.8313304121640865,0.7530162517781599,0.7744698333033377,0.8015845624480857,0.03335002980211492,9
4,0.0033329486846923827,0.006167790164758569,0.125128173828125,0.006518347001001379,7,1,"{'n_neighbors': 7, 'p': 1}",0.8817035473342074,0.8289164609630635,0.8436889953409255,0.8101552955933445,0.8145859966798684,0.8358100591822819,0.02578541956246413,1
5,0.00017800331115722657,0.00035600662231445314,0.10038418769836426,0.005583003092575397,7,2,"{'n_neighbors': 7, 'p': 2}",0.8484599996640243,0.804045089301721,0.8310176260497726,0.7630541827942112,0.7872680703630581,0.8067689936345573,0.030413242207367054,7
6,0.0008489608764648438,0.0016979217529296876,0.12852468490600585,0.010959233447695463,9,1,"{'n_neighbors': 9, 'p': 1}",0.8766404873590852,0.8256613996668785,0.8441762526190513,0.8084275797110293,0.808012419368769,0.8325836277449626,0.025731583743636457,3
7,0.0,0.0,0.09792695045471192,0.003890375173294395,9,2,"{'n_neighbors': 9, 'p': 2}",0.8533818974340281,0.8022184609987135,0.8278507884954798,0.7658358695312125,0.797827863635319,0.8094229760189504,0.02952340957439156,6
8,0.0008103370666503907,0.0009189097611928036,0.12856454849243165,0.009281212778957416,11,1,"{'n_neighbors': 11, 'p': 1}",0.8784145762488308,0.8249581159058713,0.8382130098882207,0.8047125007953893,0.8059474121855368,0.8304491230047699,0.02703265195730924,4
9,0.0006903171539306641,0.0008737123514079441,0.0982966423034668,0.006541568320844753,11,2,"{'n_neighbors': 11, 'p': 2}",0.8512146539830074,0.7994231687881728,0.8244668352057497,0.7634235734313464,0.7909333295559415,0.8058923121928435,0.029894288151468135,8
